step,method,q,seed,ablation,alpha_mean,beta_mean
319488,TEL-PPO,25.0,50,baseline,6135.43,7856.68
323584,TEL-PPO,25.0,50,baseline,6161.74,7884.36
327680,TEL-PPO,25.0,50,baseline,6201.83,7917.72
331776,TEL-PPO,25.0,50,baseline,6218.98,7951.13
335872,TEL-PPO,25.0,50,baseline,6254.25,7996.02
339968,TEL-PPO,25.0,50,baseline,6260.75,8049.85
344064,TEL-PPO,25.0,50,baseline,6304.33,8090.11
348160,TEL-PPO,25.0,50,baseline,6330.2,8114.79
352256,TEL-PPO,25.0,50,baseline,6348.9,8134.84
356352,TEL-PPO,25.0,50,baseline,6364.88,8161.98
360448,TEL-PPO,25.0,50,baseline,6384.31,8191.33
364544,TEL-PPO,25.0,50,baseline,6393.84,8212.96
368640,TEL-PPO,25.0,50,baseline,6379.26,8248.49
372736,TEL-PPO,25.0,50,baseline,6409.07,8244.01
376832,TEL-PPO,25.0,50,baseline,6407.86,8266.64
380928,TEL-PPO,25.0,50,baseline,6441.01,8265.28
385024,TEL-PPO,25.0,50,baseline,6452.66,8287.74
389120,TEL-PPO,25.0,50,baseline,6484.65,8298.77
393216,TEL-PPO,25.0,50,baseline,6520.65,8292.62
397312,TEL-PPO,25.0,50,baseline,6532.56,8352.96
401408,TEL-PPO,25.0,50,baseline,6560.37,8362.25
405504,TEL-PPO,25.0,50,baseline,6588.3,8359.72
409600,TEL-PPO,25.0,50,baseline,6586.03,8386.32
413696,TEL-PPO,25.0,50,baseline,6618.9,8381.25
417792,TEL-PPO,25.0,50,baseline,6619.67,8402.98
421888,TEL-PPO,25.0,50,baseline,6609.16,8438.16
425984,TEL-PPO,25.0,50,baseline,6595.06,8465.31
430080,TEL-PPO,25.0,50,baseline,6606.73,8485.93
434176,TEL-PPO,25.0,50,baseline,6636.7,8516.43
438272,TEL-PPO,25.0,50,baseline,6656.46,8548.89
442368,TEL-PPO,25.0,50,baseline,6667.57,8590.66
446464,TEL-PPO,25.0,50,baseline,6649.9,8622.95
450560,TEL-PPO,25.0,50,baseline,6662.91,8666.64
454656,TEL-PPO,25.0,50,baseline,6687.52,8690.69
458752,TEL-PPO,25.0,50,baseline,6714.01,8679.24
462848,TEL-PPO,25.0,50,baseline,6721.95,8699.93
466944,TEL-PPO,25.0,50,baseline,6704.66,8723.82
471040,TEL-PPO,25.0,50,baseline,6726.93,8742.75
475136,TEL-PPO,25.0,50,baseline,6753.72,8761.25
479232,TEL-PPO,25.0,50,baseline,6778.69,8767.14
483328,TEL-PPO,25.0,50,baseline,6807.44,8782.74
487424,TEL-PPO,25.0,50,baseline,6794.35,8818.43
491520,TEL-PPO,25.0,50,baseline,6779.88,8838.91
495616,TEL-PPO,25.0,50,baseline,6797.93,8896.33
499712,TEL-PPO,25.0,50,baseline,6853.72,8935.5
503808,TEL-PPO,25.0,50,baseline,6902.94,8972.14
507904,TEL-PPO,25.0,50,baseline,6931.17,8973.38
512000,TEL-PPO,25.0,50,baseline,6945.0,9006.23
516096,TEL-PPO,25.0,50,baseline,6972.33,9020.7
520192,TEL-PPO,25.0,50,baseline,6977.04,9044.99
524288,TEL-PPO,25.0,50,baseline,6991.54,9059.52
528384,TEL-PPO,25.0,50,baseline,6996.45,9085.26
532480,TEL-PPO,25.0,50,baseline,7014.3,9118.66
536576,TEL-PPO,25.0,50,baseline,7039.77,9133.74
540672,TEL-PPO,25.0,50,baseline,7067.41,9119.65
544768,TEL-PPO,25.0,50,baseline,7094.7,9110.96
548864,TEL-PPO,25.0,50,baseline,7082.41,9135.7
552960,TEL-PPO,25.0,50,baseline,7099.67,9133.8
557056,TEL-PPO,25.0,50,baseline,7125.53,9113.97
561152,TEL-PPO,25.0,50,baseline,7156.83,9110.53
565248,TEL-PPO,25.0,50,baseline,7167.06,9150.56
569344,TEL-PPO,25.0,50,baseline,7180.89,9170.98
0,TEL-PPO,25.0,1024,baseline,84.62920379638672,85.58184051513672
4096,TEL-PPO,25.0,1024,baseline,82.62871551513672,87.76439666748047
8192,TEL-PPO,25.0,1024,baseline,80.24337005615234,90.28461456298828
12288,TEL-PPO,25.0,1024,baseline,78.089599609375,92.47845458984375
16384,TEL-PPO,25.0,1024,baseline,75.85830688476562,94.74959564208984
20480,TEL-PPO,25.0,1024,baseline,73.5313720703125,97.12783813476562
24576,TEL-PPO,25.0,1024,baseline,72.00753021240234,98.66226959228516
28672,TEL-PPO,25.0,1024,baseline,70.13521575927734,100.52527618408203
32768,TEL-PPO,25.0,1024,baseline,68.51395416259766,102.17611694335938
36864,TEL-PPO,25.0,1024,baseline,67.17186737060547,103.55451202392578
40960,TEL-PPO,25.0,1024,baseline,65.99042510986328,104.79375457763672
45056,TEL-PPO,25.0,1024,baseline,65.00748443603516,105.88321685791016
49152,TEL-PPO,25.0,1024,baseline,64.18305206298828,106.80210876464844
53248,TEL-PPO,25.0,1024,baseline,63.53388977050781,107.67005920410156
57344,TEL-PPO,25.0,1024,baseline,62.96267318725586,108.47162628173828
61440,TEL-PPO,25.0,1024,baseline,62.49352264404297,109.08051300048828
65536,TEL-PPO,25.0,1024,baseline,62.512638092041016,109.27349853515625
69632,TEL-PPO,25.0,1024,baseline,62.750816345214844,109.37137603759766
73728,TEL-PPO,25.0,1024,baseline,63.084068298339844,109.21086883544922
77824,TEL-PPO,25.0,1024,baseline,63.52737045288086,108.99799346923828
81920,TEL-PPO,25.0,1024,baseline,124.92240142822266,211.33383178710938
86016,TEL-PPO,25.0,1024,baseline,188.52157592773438,318.12567138671875
90112,TEL-PPO,25.0,1024,baseline,255.93313598632812,429.4087219238281
94208,TEL-PPO,25.0,1024,baseline,326.5525817871094,545.072509765625
98304,TEL-PPO,25.0,1024,baseline,400.0149230957031,665.52734375
102400,TEL-PPO,25.0,1024,baseline,477.11163330078125,793.9193115234375
106496,TEL-PPO,25.0,1024,baseline,557.15380859375,920.6967163085938
110592,TEL-PPO,25.0,1024,baseline,642.0138549804688,1056.7540283203125
114688,TEL-PPO,25.0,1024,baseline,731.519287109375,1195.773681640625
118784,TEL-PPO,25.0,1024,baseline,821.2714233398438,1337.5655517578125
122880,TEL-PPO,25.0,1024,baseline,902.6705322265625,1479.9683837890625
126976,TEL-PPO,25.0,1024,baseline,993.8448486328125,1630.223388671875
131072,TEL-PPO,25.0,1024,baseline,1085.83740234375,1788.3944091796875
135168,TEL-PPO,25.0,1024,baseline,1165.0322265625,1935.647216796875
139264,TEL-PPO,25.0,1024,baseline,1249.84814453125,2087.6416015625
143360,TEL-PPO,25.0,1024,baseline,1348.1170654296875,2251.669189453125
147456,TEL-PPO,25.0,1024,baseline,1447.657958984375,2430.1171875
151552,TEL-PPO,25.0,1024,baseline,1543.509765625,2593.9521484375
155648,TEL-PPO,25.0,1024,baseline,1641.422119140625,2753.387451171875
159744,TEL-PPO,25.0,1024,baseline,1740.346923828125,2917.737060546875
163840,TEL-PPO,25.0,1024,baseline,1849.5745849609375,3099.1220703125
167936,TEL-PPO,25.0,1024,baseline,1960.79736328125,3275.3994140625
172032,TEL-PPO,25.0,1024,baseline,2063.953125,3457.390625
176128,TEL-PPO,25.0,1024,baseline,2171.843994140625,3622.09033203125
180224,TEL-PPO,25.0,1024,baseline,2268.263427734375,3791.75634765625
184320,TEL-PPO,25.0,1024,baseline,2375.89208984375,3970.37109375
188416,TEL-PPO,25.0,1024,baseline,2483.41357421875,4165.77587890625
192512,TEL-PPO,25.0,1024,baseline,2596.069091796875,4346.27099609375
196608,TEL-PPO,25.0,1024,baseline,2713.591552734375,4523.91748046875
200704,TEL-PPO,25.0,1024,baseline,2824.136474609375,4674.4833984375
204800,TEL-PPO,25.0,1024,baseline,2921.125244140625,4862.603515625
208896,TEL-PPO,25.0,1024,baseline,3033.988525390625,5024.89453125
212992,TEL-PPO,25.0,1024,baseline,3129.506103515625,5196.77587890625
217088,TEL-PPO,25.0,1024,baseline,3243.26171875,5361.7197265625
221184,TEL-PPO,25.0,1024,baseline,3349.074462890625,5531.416015625
225280,TEL-PPO,25.0,1024,baseline,3458.7763671875,5685.767578125
229376,TEL-PPO,25.0,1024,baseline,3563.159912109375,5875.94384765625
233472,TEL-PPO,25.0,1024,baseline,3671.9033203125,6046.46630859375
237568,TEL-PPO,25.0,1024,baseline,3770.931640625,6238.5478515625
241664,TEL-PPO,25.0,1024,baseline,3885.150634765625,6409.85595703125
245760,TEL-PPO,25.0,1024,baseline,3989.19091796875,6588.041015625
249856,TEL-PPO,25.0,1024,baseline,4100.04638671875,6772.43115234375
253952,TEL-PPO,25.0,1024,baseline,4214.810546875,6954.0849609375
258048,TEL-PPO,25.0,1024,baseline,4341.7392578125,7144.80224609375
262144,TEL-PPO,25.0,1024,baseline,4476.255859375,7342.294921875
266240,TEL-PPO,25.0,1024,baseline,4595.796875,7553.6357421875
270336,TEL-PPO,25.0,1024,baseline,4695.671875,7755.30126953125
274432,TEL-PPO,25.0,1024,baseline,4809.94287109375,7961.1513671875
278528,TEL-PPO,25.0,1024,baseline,4939.05712890625,8178.11328125
282624,TEL-PPO,25.0,1024,baseline,5050.076171875,8413.6044921875
286720,TEL-PPO,25.0,1024,baseline,5044.6513671875,8443.6376953125
290816,TEL-PPO,25.0,1024,baseline,5055.33740234375,8476.5908203125
294912,TEL-PPO,25.0,1024,baseline,5087.17333984375,8496.294921875
299008,TEL-PPO,25.0,1024,baseline,5104.04931640625,8530.5615234375
303104,TEL-PPO,25.0,1024,baseline,5138.47607421875,8588.552734375
307200,TEL-PPO,25.0,1024,baseline,5151.04638671875,8647.126953125
311296,TEL-PPO,25.0,1024,baseline,5182.025390625,8664.892578125
315392,TEL-PPO,25.0,1024,baseline,5205.4365234375,8693.2099609375
319488,TEL-PPO,25.0,1024,baseline,5228.82666015625,8776.9814453125
323584,TEL-PPO,25.0,1024,baseline,5258.02734375,8829.0986328125
327680,TEL-PPO,25.0,1024,baseline,5298.4365234375,8894.15234375
331776,TEL-PPO,25.0,1024,baseline,5337.31103515625,8907.04296875
335872,TEL-PPO,25.0,1024,baseline,5353.60791015625,8941.70703125
339968,TEL-PPO,25.0,1024,baseline,5342.89501953125,8972.7158203125
344064,TEL-PPO,25.0,1024,baseline,5363.85888671875,9010.169921875
348160,TEL-PPO,25.0,1024,baseline,5378.10498046875,9067.671875
352256,TEL-PPO,25.0,1024,baseline,5396.04052734375,9101.0146484375
356352,TEL-PPO,25.0,1024,baseline,5388.31201171875,9143.5908203125
360448,TEL-PPO,25.0,1024,baseline,5395.35986328125,9181.6015625
364544,TEL-PPO,25.0,1024,baseline,5408.1904296875,9210.638671875
368640,TEL-PPO,25.0,1024,baseline,5433.85888671875,9251.494140625
372736,TEL-PPO,25.0,1024,baseline,5459.40869140625,9286.6630859375
376832,TEL-PPO,25.0,1024,baseline,5473.94775390625,9345.0224609375
380928,TEL-PPO,25.0,1024,baseline,5493.45849609375,9394.5615234375
385024,TEL-PPO,25.0,1024,baseline,5522.13671875,9419.126953125
389120,TEL-PPO,25.0,1024,baseline,5534.9931640625,9437.6435546875
393216,TEL-PPO,25.0,1024,baseline,5553.95654296875,9459.5634765625
397312,TEL-PPO,25.0,1024,baseline,5592.38916015625,9506.138671875
401408,TEL-PPO,25.0,1024,baseline,5628.42138671875,9548.041015625
405504,TEL-PPO,25.0,1024,baseline,5673.955078125,9588.3466796875
409600,TEL-PPO,25.0,1024,baseline,5678.26806640625,9625.8662109375
413696,TEL-PPO,25.0,1024,baseline,5701.70361328125,9636.5068359375
417792,TEL-PPO,25.0,1024,baseline,5734.0380859375,9626.4248046875
421888,TEL-PPO,25.0,1024,baseline,5732.044921875,9675.150390625
425984,TEL-PPO,25.0,1024,baseline,5749.62939453125,9668.4462890625
430080,TEL-PPO,25.0,1024,baseline,5740.02880859375,9702.849609375
434176,TEL-PPO,25.0,1024,baseline,5748.326171875,9710.5146484375
438272,TEL-PPO,25.0,1024,baseline,5752.5087890625,9778.2734375
442368,TEL-PPO,25.0,1024,baseline,5772.11865234375,9828.5146484375
446464,TEL-PPO,25.0,1024,baseline,5796.880859375,9832.7705078125
450560,TEL-PPO,25.0,1024,baseline,5798.341796875,9876.21484375
454656,TEL-PPO,25.0,1024,baseline,5825.03759765625,9890.9541015625
458752,TEL-PPO,25.0,1024,baseline,5849.90087890625,9876.3515625
462848,TEL-PPO,25.0,1024,baseline,5855.501953125,9909.6796875
466944,TEL-PPO,25.0,1024,baseline,5845.52978515625,9942.4716796875
471040,TEL-PPO,25.0,1024,baseline,5866.3251953125,9956.439453125
475136,TEL-PPO,25.0,1024,baseline,5872.697265625,9969.779296875
479232,TEL-PPO,25.0,1024,baseline,5891.2421875,9963.13671875
483328,TEL-PPO,25.0,1024,baseline,5896.19140625,9972.6025390625
487424,TEL-PPO,25.0,1024,baseline,5907.9619140625,9993.515625
491520,TEL-PPO,25.0,1024,baseline,5963.40185546875,10022.0576171875
495616,TEL-PPO,25.0,1024,baseline,5992.91064453125,10082.037109375
499712,TEL-PPO,25.0,1024,baseline,6014.35400390625,10080.4755859375
503808,TEL-PPO,25.0,1024,baseline,6048.0703125,10106.16796875
507904,TEL-PPO,25.0,1024,baseline,6080.6982421875,10183.3408203125
512000,TEL-PPO,25.0,1024,baseline,6114.26953125,10236.4990234375
516096,TEL-PPO,25.0,1024,baseline,6139.9833984375,10268.5615234375
520192,TEL-PPO,25.0,1024,baseline,6144.001953125,10308.111328125
524288,TEL-PPO,25.0,1024,baseline,6138.77978515625,10345.9912109375
528384,TEL-PPO,25.0,1024,baseline,6149.60009765625,10386.580078125
532480,TEL-PPO,25.0,1024,baseline,6155.171875,10428.5390625
536576,TEL-PPO,25.0,1024,baseline,6164.373046875,10459.876953125
540672,TEL-PPO,25.0,1024,baseline,6197.87646484375,10462.1591796875
544768,TEL-PPO,25.0,1024,baseline,6218.81005859375,10446.3427734375
548864,TEL-PPO,25.0,1024,baseline,6222.3349609375,10461.7080078125
552960,TEL-PPO,25.0,1024,baseline,6232.064453125,10477.5166015625
557056,TEL-PPO,25.0,1024,baseline,6221.19873046875,10501.79296875
561152,TEL-PPO,25.0,1024,baseline,6240.5634765625,10499.6640625
565248,TEL-PPO,25.0,1024,baseline,6289.60546875,10545.33203125
569344,TEL-PPO,25.0,1024,baseline,6325.89404296875,10592.9541015625
573440,TEL-PPO,25.0,1024,baseline,6352.94140625,10623.453125
577536,TEL-PPO,25.0,1024,baseline,6377.48486328125,10655.537109375
581632,TEL-PPO,25.0,1024,baseline,6390.26025390625,10683.6298828125
585728,TEL-PPO,25.0,1024,baseline,6395.9580078125,10707.7412109375
589824,TEL-PPO,25.0,1024,baseline,6405.2626953125,10730.740234375
593920,TEL-PPO,25.0,1024,baseline,6392.47802734375,10767.6826171875
598016,TEL-PPO,25.0,1024,baseline,6413.705078125,10786.599609375
602112,TEL-PPO,25.0,1024,baseline,6426.09765625,10820.6953125
606208,TEL-PPO,25.0,1024,baseline,6428.337890625,10864.2060546875
610304,TEL-PPO,25.0,1024,baseline,6453.25,10849.791015625
614400,TEL-PPO,25.0,1024,baseline,6502.51220703125,10872.63671875
618496,TEL-PPO,25.0,1024,baseline,6524.83251953125,10875.3818359375
622592,TEL-PPO,25.0,1024,baseline,6551.431640625,10893.826171875
626688,TEL-PPO,25.0,1024,baseline,6556.822265625,10913.3583984375
630784,TEL-PPO,25.0,1024,baseline,6577.73828125,10920.2216796875
634880,TEL-PPO,25.0,1024,baseline,6595.6015625,10922.541015625
638976,TEL-PPO,25.0,1024,baseline,6585.7421875,10949.80078125
643072,TEL-PPO,25.0,1024,baseline,6590.1298828125,10975.85546875
647168,TEL-PPO,25.0,1024,baseline,6597.63916015625,10997.5478515625
651264,TEL-PPO,25.0,1024,baseline,6588.51025390625,11039.296875
655360,TEL-PPO,25.0,1024,baseline,6604.12744140625,11063.7822265625
659456,TEL-PPO,25.0,1024,baseline,6610.3515625,11059.5712890625
663552,TEL-PPO,25.0,1024,baseline,6610.28515625,11063.71875
667648,TEL-PPO,25.0,1024,baseline,6602.10205078125,11095.1787109375
671744,TEL-PPO,25.0,1024,baseline,6593.14697265625,11115.58203125
675840,TEL-PPO,25.0,1024,baseline,6609.4912109375,11126.4755859375
679936,TEL-PPO,25.0,1024,baseline,6661.27587890625,11190.3037109375
684032,TEL-PPO,25.0,1024,baseline,6682.283203125,11276.091796875
688128,TEL-PPO,25.0,1024,baseline,6702.38671875,11319.298828125
692224,TEL-PPO,25.0,1024,baseline,6736.6689453125,11375.8896484375
696320,TEL-PPO,25.0,1024,baseline,6768.73193359375,11412.0966796875
700416,TEL-PPO,25.0,1024,baseline,6792.33154296875,11411.0390625
704512,TEL-PPO,25.0,1024,baseline,6799.44287109375,11439.126953125
708608,TEL-PPO,25.0,1024,baseline,6811.78271484375,11452.6708984375
712704,TEL-PPO,25.0,1024,baseline,6843.78125,11435.2734375
716800,TEL-PPO,25.0,1024,baseline,6873.64013671875,11437.09765625
720896,TEL-PPO,25.0,1024,baseline,6877.78076171875,11431.6240234375
724992,TEL-PPO,25.0,1024,baseline,6853.53173828125,11454.083984375
729088,TEL-PPO,25.0,1024,baseline,6862.53173828125,11461.7529296875
733184,TEL-PPO,25.0,1024,baseline,6852.15869140625,11496.2255859375
737280,TEL-PPO,25.0,1024,baseline,6855.97021484375,11523.4384765625
741376,TEL-PPO,25.0,1024,baseline,6851.21337890625,11548.986328125
745472,TEL-PPO,25.0,1024,baseline,6842.7998046875,11596.1552734375
749568,TEL-PPO,25.0,1024,baseline,6852.95703125,11618.623046875
753664,TEL-PPO,25.0,1024,baseline,6903.099609375,11664.45703125
757760,TEL-PPO,25.0,1024,baseline,6914.06396484375,11710.609375
761856,TEL-PPO,25.0,1024,baseline,6940.48828125,11720.447265625
765952,TEL-PPO,25.0,1024,baseline,6972.04345703125,11693.6630859375
770048,TEL-PPO,25.0,1024,baseline,7001.57958984375,11683.5400390625
774144,TEL-PPO,25.0,1024,baseline,7013.01611328125,11661.2216796875
778240,TEL-PPO,25.0,1024,baseline,7039.40771484375,11716.1767578125
782336,TEL-PPO,25.0,1024,baseline,7065.52392578125,11747.3291015625
786432,TEL-PPO,25.0,1024,baseline,7064.82373046875,11789.873046875
790528,TEL-PPO,25.0,1024,baseline,7086.9931640625,11805.1904296875
794624,TEL-PPO,25.0,1024,baseline,7106.16015625,11817.447265625
798720,TEL-PPO,25.0,1024,baseline,7133.56787109375,11792.76953125
802816,TEL-PPO,25.0,1024,baseline,7160.33544921875,11818.826171875
806912,TEL-PPO,25.0,1024,baseline,7184.85595703125,11849.7744140625
811008,TEL-PPO,25.0,1024,baseline,7238.96728515625,11899.8193359375
815104,TEL-PPO,25.0,1024,baseline,7267.75390625,11961.7626953125
819200,TEL-PPO,25.0,1024,baseline,7291.00927734375,11977.419921875
823296,TEL-PPO,25.0,1024,baseline,7307.75927734375,11964.4140625
827392,TEL-PPO,25.0,1024,baseline,7338.0546875,11930.623046875
831488,TEL-PPO,25.0,1024,baseline,7343.4501953125,11986.6103515625
835584,TEL-PPO,25.0,1024,baseline,7364.83935546875,11992.58203125
839680,TEL-PPO,25.0,1024,baseline,7347.72216796875,12031.4423828125
843776,TEL-PPO,25.0,1024,baseline,7357.4423828125,12054.8740234375
847872,TEL-PPO,25.0,1024,baseline,7376.056640625,12075.380859375
851968,TEL-PPO,25.0,1024,baseline,7388.42724609375,12096.4873046875
856064,TEL-PPO,25.0,1024,baseline,7401.3017578125,12087.9443359375
860160,TEL-PPO,25.0,1024,baseline,7394.2568359375,12138.3564453125
864256,TEL-PPO,25.0,1024,baseline,7388.30712890625,12169.900390625
868352,TEL-PPO,25.0,1024,baseline,7396.04638671875,12178.2470703125
872448,TEL-PPO,25.0,1024,baseline,7427.47607421875,12190.7783203125
876544,TEL-PPO,25.0,1024,baseline,7429.25927734375,12229.2841796875
880640,TEL-PPO,25.0,1024,baseline,7443.81396484375,12238.888671875
884736,TEL-PPO,25.0,1024,baseline,7465.724609375,12224.25390625
888832,TEL-PPO,25.0,1024,baseline,7457.47314453125,12241.23828125
892928,TEL-PPO,25.0,1024,baseline,7429.1533203125,12278.1025390625
897024,TEL-PPO,25.0,1024,baseline,7455.69384765625,12255.8369140625
901120,TEL-PPO,25.0,1024,baseline,7463.4345703125,12254.9755859375
905216,TEL-PPO,25.0,1024,baseline,7455.1591796875,12287.9990234375
909312,TEL-PPO,25.0,1024,baseline,7483.0947265625,12299.4228515625
913408,TEL-PPO,25.0,1024,baseline,7515.5,12277.763671875
917504,TEL-PPO,25.0,1024,baseline,7542.1240234375,12273.01171875
921600,TEL-PPO,25.0,1024,baseline,7561.2001953125,12283.8828125
925696,TEL-PPO,25.0,1024,baseline,7579.37353515625,12296.869140625
929792,TEL-PPO,25.0,1024,baseline,7574.99169921875,12322.3291015625
933888,TEL-PPO,25.0,1024,baseline,7549.90673828125,12357.2412109375
937984,TEL-PPO,25.0,1024,baseline,7529.84912109375,12385.93359375
942080,TEL-PPO,25.0,1024,baseline,7566.85009765625,12367.7529296875
946176,TEL-PPO,25.0,1024,baseline,7570.42529296875,12394.8115234375
950272,TEL-PPO,25.0,1024,baseline,7578.42578125,12401.921875
954368,TEL-PPO,25.0,1024,baseline,7571.55615234375,12419.6796875
958464,TEL-PPO,25.0,1024,baseline,7562.662109375,12460.95703125
962560,TEL-PPO,25.0,1024,baseline,7585.2021484375,12474.8291015625
966656,TEL-PPO,25.0,1024,baseline,7596.47314453125,12492.708984375
970752,TEL-PPO,25.0,1024,baseline,7615.32568359375,12481.7470703125
974848,TEL-PPO,25.0,1024,baseline,7618.158203125,12503.310546875
978944,TEL-PPO,25.0,1024,baseline,7607.2587890625,12538.1728515625
983040,TEL-PPO,25.0,1024,baseline,7632.46533203125,12544.640625
987136,TEL-PPO,25.0,1024,baseline,7670.5966796875,12573.115234375
991232,TEL-PPO,25.0,1024,baseline,7681.61181640625,12602.5224609375
995328,TEL-PPO,25.0,1024,baseline,7686.5419921875,12623.283203125
999424,TEL-PPO,25.0,1024,baseline,7695.484375,12647.384765625
1003520,TEL-PPO,25.0,1024,baseline,7734.68017578125,12643.068359375
1007616,TEL-PPO,25.0,1024,baseline,7754.3359375,12629.689453125
1011712,TEL-PPO,25.0,1024,baseline,7764.22607421875,12643.9716796875
1015808,TEL-PPO,25.0,1024,baseline,7783.671875,12634.779296875
1019904,TEL-PPO,25.0,1024,baseline,7812.76123046875,12612.45703125
1024000,TEL-PPO,25.0,1024,baseline,7831.3837890625,12597.0546875
1028096,TEL-PPO,25.0,1024,baseline,7847.0810546875,12584.3173828125
1032192,TEL-PPO,25.0,1024,baseline,7872.3193359375,12600.46875
1036288,TEL-PPO,25.0,1024,baseline,7895.623046875,12625.6328125
1040384,TEL-PPO,25.0,1024,baseline,7911.70703125,12632.513671875
1044480,TEL-PPO,25.0,1024,baseline,7924.81396484375,12630.193359375
1048576,TEL-PPO,25.0,1024,baseline,7918.07177734375,12648.2333984375
1052672,TEL-PPO,25.0,1024,baseline,7927.9658203125,12641.2158203125
