step,method,q,seed,ablation,alpha_mean,beta_mean
1273856,TEL-PPO,40.0,42,baseline,8665.56,23105.45
1277952,TEL-PPO,40.0,42,baseline,8685.29,23115.41
1282048,TEL-PPO,40.0,42,baseline,8674.6,23160.93
1286144,TEL-PPO,40.0,42,baseline,8684.16,23182.68
1290240,TEL-PPO,40.0,42,baseline,8691.65,23202.98
1294336,TEL-PPO,40.0,42,baseline,8707.15,23240.18
1298432,TEL-PPO,40.0,42,baseline,8703.16,23283.09
1302528,TEL-PPO,40.0,42,baseline,8702.74,23314.71
1306624,TEL-PPO,40.0,42,baseline,8694.12,23339.45
0,TEL-PPO,55.0,50,baseline,81.07,87.06
4096,TEL-PPO,55.0,50,baseline,78.9,89.28
8192,TEL-PPO,55.0,50,baseline,76.17,92.02
12288,TEL-PPO,55.0,50,baseline,74.01,94.21
16384,TEL-PPO,55.0,50,baseline,71.84,96.36
20480,TEL-PPO,55.0,50,baseline,69.71,98.51
24576,TEL-PPO,55.0,50,baseline,67.58,100.61
28672,TEL-PPO,55.0,50,baseline,65.5,102.71
32768,TEL-PPO,55.0,50,baseline,62.95,105.3
36864,TEL-PPO,55.0,50,baseline,60.44,107.77
40960,TEL-PPO,55.0,50,baseline,57.98,110.1
45056,TEL-PPO,55.0,50,baseline,55.59,112.29
49152,TEL-PPO,55.0,50,baseline,53.33,114.41
53248,TEL-PPO,55.0,50,baseline,51.23,116.44
57344,TEL-PPO,55.0,50,baseline,49.26,118.32
61440,TEL-PPO,55.0,50,baseline,47.47,120.08
65536,TEL-PPO,55.0,50,baseline,45.85,121.71
69632,TEL-PPO,55.0,50,baseline,43.9,123.78
73728,TEL-PPO,55.0,50,baseline,42.12,125.64
77824,TEL-PPO,55.0,50,baseline,40.66,126.96
81920,TEL-PPO,55.0,50,baseline,75.86,245.15
86016,TEL-PPO,55.0,50,baseline,111.05,367.06
90112,TEL-PPO,55.0,50,baseline,146.86,494.04
94208,TEL-PPO,55.0,50,baseline,183.23,624.77
98304,TEL-PPO,55.0,50,baseline,220.58,761.11
102400,TEL-PPO,55.0,50,baseline,259.15,902.26
106496,TEL-PPO,55.0,50,baseline,298.58,1047.86
110592,TEL-PPO,55.0,50,baseline,340.07,1197.88
114688,TEL-PPO,55.0,50,baseline,382.76,1353.71
118784,TEL-PPO,55.0,50,baseline,424.84,1511.44
122880,TEL-PPO,55.0,50,baseline,469.87,1678.24
126976,TEL-PPO,55.0,50,baseline,516.03,1853.97
131072,TEL-PPO,55.0,50,baseline,562.78,2039.39
135168,TEL-PPO,55.0,50,baseline,612.74,2226.72
139264,TEL-PPO,55.0,50,baseline,661.96,2422.51
143360,TEL-PPO,55.0,50,baseline,716.96,2628.94
147456,TEL-PPO,55.0,50,baseline,771.92,2836.22
151552,TEL-PPO,55.0,50,baseline,827.73,3050.54
155648,TEL-PPO,55.0,50,baseline,884.64,3275.47
159744,TEL-PPO,55.0,50,baseline,945.45,3495.62
163840,TEL-PPO,55.0,50,baseline,1007.82,3729.59
167936,TEL-PPO,55.0,50,baseline,1074.8,3995.07
172032,TEL-PPO,55.0,50,baseline,1143.29,4253.75
176128,TEL-PPO,55.0,50,baseline,1214.36,4525.76
180224,TEL-PPO,55.0,50,baseline,1293.64,4833.26
184320,TEL-PPO,55.0,50,baseline,1368.86,5120.17
188416,TEL-PPO,55.0,50,baseline,1441.91,5414.11
192512,TEL-PPO,55.0,50,baseline,1521.67,5720.67
196608,TEL-PPO,55.0,50,baseline,1612.1,6051.65
200704,TEL-PPO,55.0,50,baseline,1702.12,6422.41
204800,TEL-PPO,55.0,50,baseline,1793.37,6743.92
208896,TEL-PPO,55.0,50,baseline,1865.73,7053.47
212992,TEL-PPO,55.0,50,baseline,1942.51,7377.68
217088,TEL-PPO,55.0,50,baseline,2024.55,7718.8
221184,TEL-PPO,55.0,50,baseline,2118.72,8071.31
225280,TEL-PPO,55.0,50,baseline,2205.37,8419.19
229376,TEL-PPO,55.0,50,baseline,2303.05,8780.68
233472,TEL-PPO,55.0,50,baseline,2392.26,9115.71
237568,TEL-PPO,55.0,50,baseline,2505.84,9505.09
241664,TEL-PPO,55.0,50,baseline,2600.59,9773.77
245760,TEL-PPO,55.0,50,baseline,2696.1,10146.05
249856,TEL-PPO,55.0,50,baseline,2793.51,10505.55
253952,TEL-PPO,55.0,50,baseline,2868.9,10843.04
258048,TEL-PPO,55.0,50,baseline,2954.07,11132.23
262144,TEL-PPO,55.0,50,baseline,3030.88,11430.53
266240,TEL-PPO,55.0,50,baseline,3121.55,11816.6
270336,TEL-PPO,55.0,50,baseline,3240.5,12257.93
274432,TEL-PPO,55.0,50,baseline,3318.47,12628.16
278528,TEL-PPO,55.0,50,baseline,3405.25,12956.55
282624,TEL-PPO,55.0,50,baseline,3493.99,13306.66
286720,TEL-PPO,55.0,50,baseline,3516.04,13365.2
290816,TEL-PPO,55.0,50,baseline,3539.92,13468.86
294912,TEL-PPO,55.0,50,baseline,3560.81,13580.2
299008,TEL-PPO,55.0,50,baseline,3584.67,13691.7
303104,TEL-PPO,55.0,50,baseline,3670.59,13983.04
307200,TEL-PPO,55.0,50,baseline,3706.95,14171.01
311296,TEL-PPO,55.0,50,baseline,3741.02,14259.5
315392,TEL-PPO,55.0,50,baseline,3746.77,14325.59
319488,TEL-PPO,55.0,50,baseline,3762.88,14324.77
323584,TEL-PPO,55.0,50,baseline,3759.63,14336.73
327680,TEL-PPO,55.0,50,baseline,3750.78,14364.01
331776,TEL-PPO,55.0,50,baseline,3772.18,14432.42
335872,TEL-PPO,55.0,50,baseline,3778.45,14543.42
339968,TEL-PPO,55.0,50,baseline,3788.09,14586.17
344064,TEL-PPO,55.0,50,baseline,3816.99,14595.98
348160,TEL-PPO,55.0,50,baseline,3832.68,14592.56
352256,TEL-PPO,55.0,50,baseline,3853.94,14573.35
356352,TEL-PPO,55.0,50,baseline,3869.7,14557.24
360448,TEL-PPO,55.0,50,baseline,3892.13,14574.01
364544,TEL-PPO,55.0,50,baseline,3894.64,14642.89
368640,TEL-PPO,55.0,50,baseline,3887.61,14676.16
372736,TEL-PPO,55.0,50,baseline,3875.54,14721.17
376832,TEL-PPO,55.0,50,baseline,3868.48,14764.1
380928,TEL-PPO,55.0,50,baseline,3877.4,14794.52
385024,TEL-PPO,55.0,50,baseline,3901.8,14811.07
389120,TEL-PPO,55.0,50,baseline,3929.16,14801.09
393216,TEL-PPO,55.0,50,baseline,3955.4,14797.2
397312,TEL-PPO,55.0,50,baseline,3965.78,14860.54
401408,TEL-PPO,55.0,50,baseline,3960.95,14899.94
405504,TEL-PPO,55.0,50,baseline,3961.2,14945.54
409600,TEL-PPO,55.0,50,baseline,3968.7,14948.41
413696,TEL-PPO,55.0,50,baseline,3959.0,14980.63
417792,TEL-PPO,55.0,50,baseline,3952.3,15029.2
421888,TEL-PPO,55.0,50,baseline,3980.73,15028.23
425984,TEL-PPO,55.0,50,baseline,3995.71,15089.2
430080,TEL-PPO,55.0,50,baseline,4026.45,15120.25
434176,TEL-PPO,55.0,50,baseline,4019.68,15153.6
438272,TEL-PPO,55.0,50,baseline,4006.83,15198.35
442368,TEL-PPO,55.0,50,baseline,3992.78,15230.16
446464,TEL-PPO,55.0,50,baseline,3990.36,15281.37
450560,TEL-PPO,55.0,50,baseline,3982.89,15326.26
454656,TEL-PPO,55.0,50,baseline,3965.42,15356.77
458752,TEL-PPO,55.0,50,baseline,3951.99,15388.23
462848,TEL-PPO,55.0,50,baseline,3939.06,15415.74
466944,TEL-PPO,55.0,50,baseline,3953.23,15435.88
471040,TEL-PPO,55.0,50,baseline,3967.61,15472.02
475136,TEL-PPO,55.0,50,baseline,3992.02,15469.03
479232,TEL-PPO,55.0,50,baseline,3979.41,15517.3
483328,TEL-PPO,55.0,50,baseline,3987.83,15535.73
487424,TEL-PPO,55.0,50,baseline,4008.76,15566.2
491520,TEL-PPO,55.0,50,baseline,4001.2,15618.98
495616,TEL-PPO,55.0,50,baseline,4010.59,15649.0
499712,TEL-PPO,55.0,50,baseline,4011.36,15689.31
503808,TEL-PPO,55.0,50,baseline,4008.13,15741.57
507904,TEL-PPO,55.0,50,baseline,4023.75,15819.66
512000,TEL-PPO,55.0,50,baseline,4021.97,15900.23
516096,TEL-PPO,55.0,50,baseline,4039.87,16015.9
520192,TEL-PPO,55.0,50,baseline,4055.76,16088.69
524288,TEL-PPO,55.0,50,baseline,4078.85,16157.25
528384,TEL-PPO,55.0,50,baseline,4093.3,16204.83
532480,TEL-PPO,55.0,50,baseline,4099.53,16262.6
536576,TEL-PPO,55.0,50,baseline,4117.27,16291.27
540672,TEL-PPO,55.0,50,baseline,4122.6,16315.28
544768,TEL-PPO,55.0,50,baseline,4148.53,16299.69
548864,TEL-PPO,55.0,50,baseline,4165.7,16285.75
552960,TEL-PPO,55.0,50,baseline,4176.24,16292.22
557056,TEL-PPO,55.0,50,baseline,4179.8,16298.91
561152,TEL-PPO,55.0,50,baseline,4204.17,16287.96
565248,TEL-PPO,55.0,50,baseline,4230.93,16345.53
569344,TEL-PPO,55.0,50,baseline,4250.18,16408.22
573440,TEL-PPO,55.0,50,baseline,4268.35,16480.27
577536,TEL-PPO,55.0,50,baseline,4280.78,16529.28
581632,TEL-PPO,55.0,50,baseline,4291.24,16570.57
585728,TEL-PPO,55.0,50,baseline,4308.55,16585.5
589824,TEL-PPO,55.0,50,baseline,4319.45,16600.49
593920,TEL-PPO,55.0,50,baseline,4336.48,16619.57
598016,TEL-PPO,55.0,50,baseline,4359.81,16612.02
602112,TEL-PPO,55.0,50,baseline,4362.76,16662.46
606208,TEL-PPO,55.0,50,baseline,4401.65,16812.04
610304,TEL-PPO,55.0,50,baseline,4403.73,16921.11
614400,TEL-PPO,55.0,50,baseline,4398.25,16987.76
618496,TEL-PPO,55.0,50,baseline,4400.47,17036.03
622592,TEL-PPO,55.0,50,baseline,4396.53,17121.09
626688,TEL-PPO,55.0,50,baseline,4402.71,17185.93
630784,TEL-PPO,55.0,50,baseline,4415.05,17271.17
634880,TEL-PPO,55.0,50,baseline,4400.1,17334.9
638976,TEL-PPO,55.0,50,baseline,4451.71,17429.22
643072,TEL-PPO,55.0,50,baseline,4494.59,17525.95
647168,TEL-PPO,55.0,50,baseline,4516.33,17588.96
651264,TEL-PPO,55.0,50,baseline,4543.32,17575.93
655360,TEL-PPO,55.0,50,baseline,4533.22,17642.04
659456,TEL-PPO,55.0,50,baseline,4529.36,17666.63
663552,TEL-PPO,55.0,50,baseline,4544.8,17709.28
667648,TEL-PPO,55.0,50,baseline,4545.35,17768.45
671744,TEL-PPO,55.0,50,baseline,4547.46,17840.95
675840,TEL-PPO,55.0,50,baseline,4568.03,17845.46
679936,TEL-PPO,55.0,50,baseline,4564.7,17872.08
684032,TEL-PPO,55.0,50,baseline,4570.13,17915.18
688128,TEL-PPO,55.0,50,baseline,4581.65,17954.41
692224,TEL-PPO,55.0,50,baseline,4574.13,18014.31
696320,TEL-PPO,55.0,50,baseline,4566.95,18037.13
700416,TEL-PPO,55.0,50,baseline,4581.49,18052.96
704512,TEL-PPO,55.0,50,baseline,4587.32,18083.92
708608,TEL-PPO,55.0,50,baseline,4609.03,18123.76
712704,TEL-PPO,55.0,50,baseline,4637.3,18107.85
716800,TEL-PPO,55.0,50,baseline,4674.82,18214.87
720896,TEL-PPO,55.0,50,baseline,4697.93,18282.18
724992,TEL-PPO,55.0,50,baseline,4700.86,18318.32
729088,TEL-PPO,55.0,50,baseline,4691.34,18332.04
733184,TEL-PPO,55.0,50,baseline,4708.87,18336.96
737280,TEL-PPO,55.0,50,baseline,4723.39,18344.93
741376,TEL-PPO,55.0,50,baseline,4723.82,18363.66
745472,TEL-PPO,55.0,50,baseline,4726.21,18380.96
749568,TEL-PPO,55.0,50,baseline,4721.54,18417.44
753664,TEL-PPO,55.0,50,baseline,4716.54,18441.56
757760,TEL-PPO,55.0,50,baseline,4727.82,18450.26
761856,TEL-PPO,55.0,50,baseline,4715.73,18505.56
765952,TEL-PPO,55.0,50,baseline,4744.7,18497.88
770048,TEL-PPO,55.0,50,baseline,4725.84,18475.29
774144,TEL-PPO,55.0,50,baseline,4727.33,18556.05
778240,TEL-PPO,55.0,50,baseline,4759.43,18647.34
782336,TEL-PPO,55.0,50,baseline,4779.26,18696.58
786432,TEL-PPO,55.0,50,baseline,4818.94,18774.94
790528,TEL-PPO,55.0,50,baseline,4845.03,18826.32
794624,TEL-PPO,55.0,50,baseline,4855.17,18898.65
798720,TEL-PPO,55.0,50,baseline,4877.7,18925.46
802816,TEL-PPO,55.0,50,baseline,4900.28,18945.81
806912,TEL-PPO,55.0,50,baseline,4912.64,18974.12
811008,TEL-PPO,55.0,50,baseline,4906.96,19018.59
815104,TEL-PPO,55.0,50,baseline,4927.19,19014.36
819200,TEL-PPO,55.0,50,baseline,4909.29,19039.12
823296,TEL-PPO,55.0,50,baseline,4921.11,19030.49
827392,TEL-PPO,55.0,50,baseline,4947.35,18996.44
831488,TEL-PPO,55.0,50,baseline,4953.36,19026.38
835584,TEL-PPO,55.0,50,baseline,4941.6,19085.21
839680,TEL-PPO,55.0,50,baseline,4931.48,19116.54
843776,TEL-PPO,55.0,50,baseline,4946.23,19126.9
847872,TEL-PPO,55.0,50,baseline,4986.81,19200.98
851968,TEL-PPO,55.0,50,baseline,4992.13,19287.91
856064,TEL-PPO,55.0,50,baseline,4971.99,19334.54
860160,TEL-PPO,55.0,50,baseline,4955.9,19377.64
864256,TEL-PPO,55.0,50,baseline,4962.89,19419.79
868352,TEL-PPO,55.0,50,baseline,4973.04,19439.94
872448,TEL-PPO,55.0,50,baseline,4964.35,19482.16
876544,TEL-PPO,55.0,50,baseline,4978.67,19483.4
880640,TEL-PPO,55.0,50,baseline,4970.61,19511.46
884736,TEL-PPO,55.0,50,baseline,4970.75,19537.62
888832,TEL-PPO,55.0,50,baseline,4995.23,19544.95
892928,TEL-PPO,55.0,50,baseline,4995.86,19559.05
897024,TEL-PPO,55.0,50,baseline,4973.9,19591.89
901120,TEL-PPO,55.0,50,baseline,4955.81,19619.38
905216,TEL-PPO,55.0,50,baseline,4973.54,19642.86
909312,TEL-PPO,55.0,50,baseline,4993.93,19674.4
913408,TEL-PPO,55.0,50,baseline,4984.81,19715.62
917504,TEL-PPO,55.0,50,baseline,4969.34,19750.48
921600,TEL-PPO,55.0,50,baseline,4963.19,19790.04
925696,TEL-PPO,55.0,50,baseline,4958.0,19817.2
929792,TEL-PPO,55.0,50,baseline,4970.67,19841.06
933888,TEL-PPO,55.0,50,baseline,4970.85,19886.27
937984,TEL-PPO,55.0,50,baseline,4980.8,19904.52
942080,TEL-PPO,55.0,50,baseline,4976.16,19942.69
946176,TEL-PPO,55.0,50,baseline,4981.75,20001.32
950272,TEL-PPO,55.0,50,baseline,4978.65,20059.33
954368,TEL-PPO,55.0,50,baseline,5005.77,20077.47
958464,TEL-PPO,55.0,50,baseline,5015.58,20110.67
962560,TEL-PPO,55.0,50,baseline,5012.99,20129.61
966656,TEL-PPO,55.0,50,baseline,5017.01,20168.61
970752,TEL-PPO,55.0,50,baseline,5019.11,20193.74
974848,TEL-PPO,55.0,50,baseline,5021.14,20209.27
978944,TEL-PPO,55.0,50,baseline,5035.73,20195.41
983040,TEL-PPO,55.0,50,baseline,5044.35,20205.71
987136,TEL-PPO,55.0,50,baseline,5057.65,20245.58
991232,TEL-PPO,55.0,50,baseline,5071.74,20265.62
995328,TEL-PPO,55.0,50,baseline,5099.81,20263.77
999424,TEL-PPO,55.0,50,baseline,5076.34,20315.24
1003520,TEL-PPO,55.0,50,baseline,5070.88,20371.92
1007616,TEL-PPO,55.0,50,baseline,5043.83,20382.37
1011712,TEL-PPO,55.0,50,baseline,5054.62,20376.81
1015808,TEL-PPO,55.0,50,baseline,5063.88,20414.87
1019904,TEL-PPO,55.0,50,baseline,5079.19,20492.66
1024000,TEL-PPO,55.0,50,baseline,5098.75,20498.39
1028096,TEL-PPO,55.0,50,baseline,5114.89,20560.27
1032192,TEL-PPO,55.0,50,baseline,5138.32,20593.61
1036288,TEL-PPO,55.0,50,baseline,5127.92,20628.71
1040384,TEL-PPO,55.0,50,baseline,5150.05,20653.88
1044480,TEL-PPO,55.0,50,baseline,5179.92,20630.48
1048576,TEL-PPO,55.0,50,baseline,5198.52,20642.61
1052672,TEL-PPO,55.0,50,baseline,5230.77,20659.65
1056768,TEL-PPO,55.0,50,baseline,5248.5,20652.86
1060864,TEL-PPO,55.0,50,baseline,5262.61,20681.92
1064960,TEL-PPO,55.0,50,baseline,5252.8,20731.97
1069056,TEL-PPO,55.0,50,baseline,5272.71,20734.51
1073152,TEL-PPO,55.0,50,baseline,5286.25,20790.24
1077248,TEL-PPO,55.0,50,baseline,5300.09,20846.84
1081344,TEL-PPO,55.0,50,baseline,5323.81,20957.95
1085440,TEL-PPO,55.0,50,baseline,5358.28,20977.08
1089536,TEL-PPO,55.0,50,baseline,5356.79,21027.19
1093632,TEL-PPO,55.0,50,baseline,5336.19,21066.92
1097728,TEL-PPO,55.0,50,baseline,5338.87,21090.09
1101824,TEL-PPO,55.0,50,baseline,5325.51,21131.05
1105920,TEL-PPO,55.0,50,baseline,5345.88,21140.67
1110016,TEL-PPO,55.0,50,baseline,5360.32,21171.92
1114112,TEL-PPO,55.0,50,baseline,5371.55,21199.08
1118208,TEL-PPO,55.0,50,baseline,5386.57,21219.86
1122304,TEL-PPO,55.0,50,baseline,5411.13,21211.37
1126400,TEL-PPO,55.0,50,baseline,5414.33,21251.39
1130496,TEL-PPO,55.0,50,baseline,5427.41,21262.28
1134592,TEL-PPO,55.0,50,baseline,5429.08,21184.02
1138688,TEL-PPO,55.0,50,baseline,5411.07,21174.4
1142784,TEL-PPO,55.0,50,baseline,5382.63,21216.53
1146880,TEL-PPO,55.0,50,baseline,5385.92,21221.52
1150976,TEL-PPO,55.0,50,baseline,5424.28,21289.52
1155072,TEL-PPO,55.0,50,baseline,5459.68,21257.82
1159168,TEL-PPO,55.0,50,baseline,5459.24,21287.29
1163264,TEL-PPO,55.0,50,baseline,5478.93,21306.86
1167360,TEL-PPO,55.0,50,baseline,5465.08,21372.03
1171456,TEL-PPO,55.0,50,baseline,5465.08,21391.23
1175552,TEL-PPO,55.0,50,baseline,5474.93,21414.74
1179648,TEL-PPO,55.0,50,baseline,5477.16,21491.4
1183744,TEL-PPO,55.0,50,baseline,5494.07,21548.03
1187840,TEL-PPO,55.0,50,baseline,5509.35,21612.25
1191936,TEL-PPO,55.0,50,baseline,5528.73,21631.37
1196032,TEL-PPO,55.0,50,baseline,5560.96,21601.83
1200128,TEL-PPO,55.0,50,baseline,5570.65,21624.94
1204224,TEL-PPO,55.0,50,baseline,5560.47,21718.62
1208320,TEL-PPO,55.0,50,baseline,5557.95,21759.49
1212416,TEL-PPO,55.0,50,baseline,5581.31,21771.7
1216512,TEL-PPO,55.0,50,baseline,5564.6,21830.21
1220608,TEL-PPO,55.0,50,baseline,5554.56,21868.58
1224704,TEL-PPO,55.0,50,baseline,5567.7,21898.35
1228800,TEL-PPO,55.0,50,baseline,5598.82,21945.35
1232896,TEL-PPO,55.0,50,baseline,5615.52,22014.49
1236992,TEL-PPO,55.0,50,baseline,5638.29,22040.42
1241088,TEL-PPO,55.0,50,baseline,5666.46,22040.53
1245184,TEL-PPO,55.0,50,baseline,5677.48,22030.53
1249280,TEL-PPO,55.0,50,baseline,5691.91,21979.47
1253376,TEL-PPO,55.0,50,baseline,5692.81,21958.8
1257472,TEL-PPO,55.0,50,baseline,5713.71,21969.28
1261568,TEL-PPO,55.0,50,baseline,5703.31,21997.7
1265664,TEL-PPO,55.0,50,baseline,5715.41,22010.6
1269760,TEL-PPO,55.0,50,baseline,5723.3,22026.95
1273856,TEL-PPO,55.0,50,baseline,5725.57,22038.83
1277952,TEL-PPO,55.0,50,baseline,5740.81,22124.29
1282048,TEL-PPO,55.0,50,baseline,5731.89,22195.83
1286144,TEL-PPO,55.0,50,baseline,5734.14,22248.98
1290240,TEL-PPO,55.0,50,baseline,5722.97,22288.12
1294336,TEL-PPO,55.0,50,baseline,5753.5,22303.08
1298432,TEL-PPO,55.0,50,baseline,5813.93,22469.73
1302528,TEL-PPO,55.0,50,baseline,5839.69,22576.46
1306624,TEL-PPO,55.0,50,baseline,5829.75,22615.66
1310720,TEL-PPO,55.0,50,baseline,5843.98,22631.55
1314816,TEL-PPO,55.0,50,baseline,5835.08,22663.89
1318912,TEL-PPO,55.0,50,baseline,5865.48,22656.81
1323008,TEL-PPO,55.0,50,baseline,5903.78,22710.07
1327104,TEL-PPO,55.0,50,baseline,5900.17,22715.47
1331200,TEL-PPO,55.0,50,baseline,5908.06,22720.13
1335296,TEL-PPO,55.0,50,baseline,5929.55,22782.92
1339392,TEL-PPO,55.0,50,baseline,5957.83,22889.13
1343488,TEL-PPO,55.0,50,baseline,5956.59,22969.14
1347584,TEL-PPO,55.0,50,baseline,5940.03,23039.33
1351680,TEL-PPO,55.0,50,baseline,5928.4,23105.83
1355776,TEL-PPO,55.0,50,baseline,5938.71,23126.81
1359872,TEL-PPO,55.0,50,baseline,5955.08,23095.86
1363968,TEL-PPO,55.0,50,baseline,5954.6,23108.48
1368064,TEL-PPO,55.0,50,baseline,5944.76,23104.94
1372160,TEL-PPO,55.0,50,baseline,5918.82,23150.2
1376256,TEL-PPO,55.0,50,baseline,5928.38,23166.25
1380352,TEL-PPO,55.0,50,baseline,5923.83,23086.89
1384448,TEL-PPO,55.0,50,baseline,5931.98,23065.42
1388544,TEL-PPO,55.0,50,baseline,5951.0,23039.88
1392640,TEL-PPO,55.0,50,baseline,5967.65,23033.22
1396736,TEL-PPO,55.0,50,baseline,5969.64,23057.24
1400832,TEL-PPO,55.0,50,baseline,5974.83,23095.27
1404928,TEL-PPO,55.0,50,baseline,5989.77,23146.32
1409024,TEL-PPO,55.0,50,baseline,5992.0,23206.22
1413120,TEL-PPO,55.0,50,baseline,5991.84,23249.63
1417216,TEL-PPO,55.0,50,baseline,5965.03,23293.46
1421312,TEL-PPO,55.0,50,baseline,5962.38,23277.75
1425408,TEL-PPO,55.0,50,baseline,5966.19,23317.49
1429504,TEL-PPO,55.0,50,baseline,5996.82,23358.6
1433600,TEL-PPO,55.0,50,baseline,6011.02,23376.54
1437696,TEL-PPO,55.0,50,baseline,6036.33,23382.86
1441792,TEL-PPO,55.0,50,baseline,6039.62,23400.35
1445888,TEL-PPO,55.0,50,baseline,6061.62,23420.0
1449984,TEL-PPO,55.0,50,baseline,6071.65,23537.97
1454080,TEL-PPO,55.0,50,baseline,6107.11,23597.54
1458176,TEL-PPO,55.0,50,baseline,6100.38,23651.28
1462272,TEL-PPO,55.0,50,baseline,6090.32,23685.59
1466368,TEL-PPO,55.0,50,baseline,6107.92,23667.65
1470464,TEL-PPO,55.0,50,baseline,6126.88,23680.23
1474560,TEL-PPO,55.0,50,baseline,6143.58,23700.37
1478656,TEL-PPO,55.0,50,baseline,6136.21,23726.77
1482752,TEL-PPO,55.0,50,baseline,6148.54,23795.2
1486848,TEL-PPO,55.0,50,baseline,6161.24,23820.57
1490944,TEL-PPO,55.0,50,baseline,6144.23,23859.03
1495040,TEL-PPO,55.0,50,baseline,6134.03,23891.49
1499136,TEL-PPO,55.0,50,baseline,6111.97,23886.35
1503232,TEL-PPO,55.0,50,baseline,6104.83,23823.36
1507328,TEL-PPO,55.0,50,baseline,6114.41,23777.9
1511424,TEL-PPO,55.0,50,baseline,6138.96,23919.75
1515520,TEL-PPO,55.0,50,baseline,6161.88,24024.36
1519616,TEL-PPO,55.0,50,baseline,6191.68,24087.44
1523712,TEL-PPO,55.0,50,baseline,6195.4,24141.62
1527808,TEL-PPO,55.0,50,baseline,6198.25,24183.06
1531904,TEL-PPO,55.0,50,baseline,6190.32,24233.18
1536000,TEL-PPO,55.0,50,baseline,6203.49,24236.57
1540096,TEL-PPO,55.0,50,baseline,6226.42,24227.52
1544192,TEL-PPO,55.0,50,baseline,6206.04,24277.92
1548288,TEL-PPO,55.0,50,baseline,6215.03,24401.24
1552384,TEL-PPO,55.0,50,baseline,6218.23,24483.89
1556480,TEL-PPO,55.0,50,baseline,6223.25,24536.28
1560576,TEL-PPO,55.0,50,baseline,6200.93,24575.66
1564672,TEL-PPO,55.0,50,baseline,6182.9,24607.65
1568768,TEL-PPO,55.0,50,baseline,6187.15,24641.82
1572864,TEL-PPO,55.0,50,baseline,6211.69,24615.45
1576960,TEL-PPO,55.0,50,baseline,6226.82,24603.76
1581056,TEL-PPO,55.0,50,baseline,6242.82,24600.09
1585152,TEL-PPO,55.0,50,baseline,6238.26,24633.59
1589248,TEL-PPO,55.0,50,baseline,6220.92,24695.06
1593344,TEL-PPO,55.0,50,baseline,6225.29,24710.37
1597440,TEL-PPO,55.0,50,baseline,6213.79,24764.41
1601536,TEL-PPO,55.0,50,baseline,6210.16,24812.18
1605632,TEL-PPO,55.0,50,baseline,6237.84,24965.02
1609728,TEL-PPO,55.0,50,baseline,6273.57,25037.01
1613824,TEL-PPO,55.0,50,baseline,6284.79,25091.72
1617920,TEL-PPO,55.0,50,baseline,6307.79,25127.03
1622016,TEL-PPO,55.0,50,baseline,6327.92,25140.03
1626112,TEL-PPO,55.0,50,baseline,6320.69,25191.39
1630208,TEL-PPO,55.0,50,baseline,6294.14,25234.68
1634304,TEL-PPO,55.0,50,baseline,6273.02,25271.32
1638400,TEL-PPO,55.0,50,baseline,6295.0,25281.97
1642496,TEL-PPO,55.0,50,baseline,6331.94,25270.93
1646592,TEL-PPO,55.0,50,baseline,6356.35,25308.18
1650688,TEL-PPO,55.0,50,baseline,6383.7,25305.55
1654784,TEL-PPO,55.0,50,baseline,6391.46,25351.46
1658880,TEL-PPO,55.0,50,baseline,6383.16,25444.95
1662976,TEL-PPO,55.0,50,baseline,6389.24,25503.75
1667072,TEL-PPO,55.0,50,baseline,6379.93,25534.37
1671168,TEL-PPO,55.0,50,baseline,6386.54,25602.92
1675264,TEL-PPO,55.0,50,baseline,6375.63,25672.21
1679360,TEL-PPO,55.0,50,baseline,6371.35,25726.79
1683456,TEL-PPO,55.0,50,baseline,6344.94,25772.93
1687552,TEL-PPO,55.0,50,baseline,6324.98,25816.71
1691648,TEL-PPO,55.0,50,baseline,6346.18,25815.5
1695744,TEL-PPO,55.0,50,baseline,6335.55,25863.29
1699840,TEL-PPO,55.0,50,baseline,6305.73,25913.18
1703936,TEL-PPO,55.0,50,baseline,6325.63,25959.12
1708032,TEL-PPO,55.0,50,baseline,6322.28,26012.1
1712128,TEL-PPO,55.0,50,baseline,6336.03,25988.69
1716224,TEL-PPO,55.0,50,baseline,6347.83,25976.42
1720320,TEL-PPO,55.0,50,baseline,6365.92,26010.16
1724416,TEL-PPO,55.0,50,baseline,6397.94,25975.44
1728512,TEL-PPO,55.0,50,baseline,6426.95,25959.86
1732608,TEL-PPO,55.0,50,baseline,6433.73,26014.05
1736704,TEL-PPO,55.0,50,baseline,6421.44,26070.89
1740800,TEL-PPO,55.0,50,baseline,6438.4,26090.09
1744896,TEL-PPO,55.0,50,baseline,6462.67,26063.62
1748992,TEL-PPO,55.0,50,baseline,6470.39,26013.15
1753088,TEL-PPO,55.0,50,baseline,6440.08,25994.41
1757184,TEL-PPO,55.0,50,baseline,6431.32,26004.51
1761280,TEL-PPO,55.0,50,baseline,6401.44,26049.57
1765376,TEL-PPO,55.0,50,baseline,6376.63,26087.7
1769472,TEL-PPO,55.0,50,baseline,6361.51,26127.94
1773568,TEL-PPO,55.0,50,baseline,6367.1,26162.2
1777664,TEL-PPO,55.0,50,baseline,6400.45,26244.53
1781760,TEL-PPO,55.0,50,baseline,6396.09,26312.28
1785856,TEL-PPO,55.0,50,baseline,6422.58,26333.11
